# qSol1, qSol2, qSol3, t
-1.70092e-01, -1.51346e-02, -1.86080e-01, 2.68000e+00
-2.21071e-01, -3.46538e-02, -1.73506e-01, 2.70000e+00
-2.63938e-01, -6.06385e-02, -1.58170e-01, 2.72000e+00
-2.97502e-01, -9.26011e-02, -1.40897e-01, 2.74000e+00
-3.21060e-01, -1.29593e-01, -1.22668e-01, 2.76000e+00
-3.34407e-01, -1.70246e-01, -1.04584e-01, 2.78000e+00
-3.37820e-01, -2.12848e-01, -8.78136e-02, 2.80000e+00
-3.32007e-01, -2.55438e-01, -7.35399e-02, 2.82000e+00
-3.18047e-01, -2.95920e-01, -6.28946e-02, 2.84000e+00
-2.97298e-01, -3.32195e-01, -5.68950e-02, 2.86000e+00
-2.71309e-01, -3.62288e-01, -5.63820e-02, 2.88000e+00
-2.41712e-01, -3.84473e-01, -6.19636e-02, 2.90000e+00
-2.10127e-01, -3.97391e-01, -7.39693e-02, 2.92000e+00
-1.78070e-01, -4.00139e-01, -9.24156e-02, 2.94000e+00
-1.46872e-01, -3.92339e-01, -1.16989e-01, 2.96000e+00
-1.17622e-01, -3.74169e-01, -1.47042e-01, 2.98000e+00
-9.11248e-02, -3.46370e-01, -1.81614e-01, 3.00000e+00
-6.78855e-02, -3.10210e-01, -2.19462e-01, 3.02000e+00
-4.81123e-02, -2.67420e-01, -2.59111e-01, 3.04000e+00
-3.17440e-02, -2.20098e-01, -2.98918e-01, 3.06000e+00
-1.84938e-02, -1.70596e-01, -3.37148e-01, 3.08000e+00
-7.90739e-03, -1.21380e-01, -3.72053e-01, 3.10000e+00
5.70190e-04, -7.48945e-02, -4.01957e-01, 3.12000e+00
7.52378e-03, -3.34158e-02, -4.25339e-01, 3.14000e+00
1.34997e-02, 1.07792e-03, -4.40908e-01, 3.16000e+00
1.89446e-02, 2.70228e-02, -4.47666e-01, 3.18000e+00
2.41568e-02, 4.33599e-02, -4.44961e-01, 3.20000e+00
2.92535e-02, 4.95964e-02, -4.32524e-01, 3.22000e+00
3.41558e-02, 4.58327e-02, -4.10477e-01, 3.24000e+00
3.85946e-02, 3.27550e-02, -3.79334e-01, 3.26000e+00
4.21341e-02, 1.15914e-02, -3.39977e-01, 3.28000e+00
4.42142e-02, -1.59620e-02, -2.93611e-01, 3.30000e+00
4.42062e-02, -4.78446e-02, -2.41709e-01, 3.32000e+00
4.14788e-02, -8.17548e-02, -1.85939e-01, 3.34000e+00
3.54688e-02, -1.15287e-01, -1.28088e-01, 3.36000e+00
2.57512e-02, -1.46076e-01, -6.99768e-02, 3.38000e+00
1.21035e-02, -1.71931e-01, -1.33770e-02, 3.40000e+00
-5.44258e-03, -1.90969e-01, 4.00684e-02, 3.42000e+00
-2.65645e-02, -2.01718e-01, 8.89146e-02, 3.44000e+00
-5.06328e-02, -2.03196e-01, 1.31973e-01, 3.46000e+00
-7.67167e-02, -1.94966e-01, 1.68356e-01, 3.48000e+00
-1.03613e-01, -1.77151e-01, 1.97500e-01, 3.50000e+00
-1.29894e-01, -1.50413e-01, 2.19179e-01, 3.52000e+00
-1.53982e-01, -1.15908e-01, 2.33491e-01, 3.54000e+00
-1.74232e-01, -7.52016e-02, 2.40838e-01, 3.56000e+00
-1.89027e-01, -3.01712e-02, 2.41881e-01, 3.58000e+00
-1.96884e-01, 1.71180e-02, 2.37496e-01, 3.60000e+00
-1.96551e-01, 6.45407e-02, 2.28711e-01, 3.62000e+00
-1.87098e-01, 1.10041e-01, 2.16644e-01, 3.64000e+00
-1.67999e-01, 1.51756e-01, 2.02443e-01, 3.66000e+00
-1.39187e-01, 1.88122e-01, 1.87221e-01, 3.68000e+00
-1.01086e-01, 2.17961e-01, 1.72006e-01, 3.70000e+00
-5.46230e-02, 2.40540e-01, 1.57697e-01, 3.72000e+00
-1.20002e-03, 2.55599e-01, 1.45029e-01, 3.74000e+00
5.73535e-02, 2.63346e-01, 1.34556e-01, 3.76000e+00
1.18859e-01, 2.64430e-01, 1.26644e-01, 3.78000e+00
1.80887e-01, 2.59870e-01, 1.21474e-01, 3.80000e+00
2.40877e-01, 2.50979e-01, 1.19059e-01, 3.82000e+00
2.96262e-01, 2.39254e-01, 1.19274e-01, 3.84000e+00
3.44603e-01, 2.26265e-01, 1.21883e-01, 3.86000e+00
3.83716e-01, 2.13543e-01, 1.26576e-01, 3.88000e+00
4.11792e-01, 2.02464e-01, 1.33008e-01, 3.90000e+00
4.27491e-01, 1.94155e-01, 1.40832e-01, 3.92000e+00
4.30023e-01, 1.89413e-01, 1.49726e-01, 3.94000e+00
4.19194e-01, 1.88656e-01, 1.59420e-01, 3.96000e+00
3.95420e-01, 1.91891e-01, 1.69704e-01, 3.98000e+00
3.59713e-01, 1.98722e-01, 1.80437e-01, 4.00000e+00
3.13632e-01, 2.08380e-01, 1.91539e-01, 4.02000e+00
2.59204e-01, 2.19787e-01, 2.02981e-01, 4.04000e+00
1.98823e-01, 2.31636e-01, 2.14760e-01, 4.06000e+00
1.35133e-01, 2.42489e-01, 2.26873e-01, 4.08000e+00
7.08838e-02, 2.50891e-01, 2.39294e-01, 4.10000e+00
8.80396e-03, 2.55477e-01, 2.51941e-01, 4.12000e+00
-4.85427e-02, 2.55084e-01, 2.64650e-01, 4.14000e+00
-9.88791e-02, 2.48840e-01, 2.77157e-01, 4.16000e+00
-1.40324e-01, 2.36244e-01, 2.89089e-01, 4.18000e+00
-1.71476e-01, 2.17210e-01, 2.99955e-01, 4.20000e+00
-1.91472e-01, 1.92094e-01, 3.09159e-01, 4.22000e+00
-2.00015e-01, 1.61680e-01, 3.16017e-01, 4.24000e+00
-1.97368e-01, 1.27147e-01, 3.19786e-01, 4.26000e+00
-1.84322e-01, 8.99956e-02, 3.19704e-01, 4.28000e+00
-1.62136e-01, 5.19628e-02, 3.15034e-01, 4.30000e+00
-1.32448e-01, 1.49099e-02, 3.05113e-01, 4.32000e+00
